,value
2022-01-03,1.0076555909317824
2022-01-04,0.9909828376432765
2022-01-05,0.9960331787859494
2022-01-06,0.9987566225535628
2022-01-07,0.997927741091324
2022-01-10,1.007882197080177
2022-01-11,1.0085875508894224
2022-01-12,0.9969794305362013
2022-01-13,0.995676912181754
2022-01-14,0.9746733157594641
2022-01-18,0.9638426507265675
2022-01-19,0.9549542305779354
2022-01-20,0.9348868568154536
2022-01-21,0.9359122989096786
2022-01-24,0.9371157086074108
2022-01-25,0.9370002617908758
2022-01-26,0.9361497456134306
2022-01-27,0.9518014050478967
2022-01-28,0.9646636116737076
2022-01-31,0.9785186833731625
2022-02-01,0.9873170904099293
2022-02-02,0.9724194494990086
2022-02-03,0.9822949434680351
2022-02-04,0.9833819224037668
2022-02-07,0.9865861223057846
2022-02-08,0.995380777907129
2022-02-09,0.9861135448302879
2022-02-10,0.9753299848722449
2022-02-11,0.9689398128475561
2022-02-14,0.9764098244746994
2022-02-15,0.9759029840741075
2022-02-16,0.9606901294950355
2022-02-17,0.9548298825697338
2022-02-18,0.9457151078101136
2022-02-22,0.9325457509837649
2022-02-23,0.9325240201954219
2022-02-24,0.9539536734993208
2022-02-25,0.9460444436539458
2022-02-28,0.9329337424506983
2022-03-01,0.950199154740716
2022-03-02,0.9477422286537807
2022-03-03,0.9414345161318113
2022-03-04,0.9241687105375538
2022-03-07,0.9149103652171708
2022-03-08,0.9322772075376915
2022-03-09,0.9292282410332813
2022-03-10,0.92142748064697
2022-03-11,0.9195919675664861
2022-03-14,0.934523990987368
2022-03-15,0.9487169650676113
2022-03-16,0.955779240007632
2022-03-17,0.9620667694756037
2022-03-18,0.9557726363003268
2022-03-21,0.9648990833177478
2022-03-22,0.9557620640621947
2022-03-23,0.9610486322869888
2022-03-24,0.964075597261604
2022-03-25,0.9665950943666164
2022-03-28,0.9744911077067617
2022-03-29,0.971815283956976
2022-03-30,0.9561499432219968
2022-03-31,0.9574074573969632
2022-04-01,0.9587773660221675
2022-04-04,0.9451643317426534
2022-04-05,0.9318834047145645
2022-04-06,0.9349105177745666
2022-04-07,0.9315567645468634
2022-04-08,0.9156142987453687
2022-04-11,0.9119629833424743
2022-04-12,0.9210363398357216
2022-04-13,0.9128648082932159
2022-04-14,0.9143128277404635
2022-04-18,0.9265581101340136
2022-04-19,0.9255326389527739
2022-04-20,0.9076868833443152
2022-04-21,0.879948789395096
2022-04-22,0.8852263245958761
2022-04-25,0.8606887142280655
2022-04-26,0.8586864207121795
2022-04-27,0.8849107844112704
2022-04-28,0.853512934241273
