date,equal_weight
2024-01-02,1.0
2024-01-03,0.9952462931674235
2024-01-04,0.9916579200045129
2024-01-05,0.9946469766665389
2024-01-08,1.00390259348374
2024-01-09,1.0002096083131173
2024-01-10,1.0048199712221904
2024-01-11,1.003357922404594
2024-01-12,1.0056302644642272
2024-01-16,0.9993098486801623
2024-01-17,0.9920943707158331
2024-01-18,0.9972788035267368
2024-01-19,1.0076463682381163
2024-01-22,1.0099537448046494
2024-01-23,1.0133943784470518
2024-01-24,1.0147810393967955
2024-01-25,1.0243216824441181
2024-01-26,1.0252495030638014
2024-01-29,1.0319742168514958
2024-01-30,1.0364383470094798
2024-01-31,1.0228940429549322
2024-02-01,1.0326520822779193
2024-02-02,1.042445107072639
2024-02-05,1.0348643334420053
2024-02-06,1.0409288635177578
2024-02-07,1.047272802879543
2024-02-08,1.0510979163738097
2024-02-09,1.0520017376200004
2024-02-12,1.0558186238830527
2024-02-13,1.0400989308277377
2024-02-14,1.0471176834752218
2024-02-15,1.0587307037303761
2024-02-16,1.0547401119860234
2024-02-20,1.0507679616634173
2024-02-21,1.051606294154774
2024-02-22,1.0673604053105192
2024-02-23,1.0702410268221194
2024-02-26,1.0653014277828907
2024-02-27,1.0667790700881459
2024-02-28,1.0664632816340376
2024-02-29,1.0691557813112298
2024-03-01,1.0742458676650568
2024-03-04,1.0739593924995827
2024-03-05,1.0717338423640603
2024-03-06,1.0771383911394155
2024-03-07,1.0843421791875807
2024-03-08,1.0809697116308914
2024-03-11,1.0834007613515095
2024-03-12,1.094423246632516
2024-03-13,1.0961238986581445
2024-03-14,1.092725507200767
2024-03-15,1.0887218802497671
2024-03-18,1.0942455786601506
2024-03-19,1.1004529043557012
2024-03-20,1.1090052676448399
2024-03-21,1.1132945253860027
2024-03-22,1.108548516402588
2024-03-25,1.1058195088123526
2024-03-26,1.1038305266387458
2024-03-27,1.1147870705909335
2024-03-28,1.1166606651281317
2024-04-01,1.1122616047655012
2024-04-02,1.1063186173576591
2024-04-03,1.1059272632742247
2024-04-04,1.0967382221340616
2024-04-05,1.1063882305816388
2024-04-08,1.1069068477090194
2024-04-09,1.1088793994216422
2024-04-10,1.0974684651864146
2024-04-11,1.1023492536569277
2024-04-12,1.0883259235333276
2024-04-15,1.0816436543386623
2024-04-16,1.0778344276619358
2024-04-17,1.0769975280237027
2024-04-18,1.0780644064138243
2024-04-19,1.0771816533181517
2024-04-22,1.0851036408567414
2024-04-23,1.093271281699356
2024-04-24,1.0917179679729734
2024-04-25,1.0795102947083601
2024-04-26,1.0882572967751298
2024-04-29,1.0895347197011445
2024-04-30,1.0736839382700771
2024-05-01,1.07648212763655
2024-05-02,1.0851919437329756
2024-05-03,1.0943190578798878
2024-05-06,1.1053075296901997
2024-05-07,1.1047608225167938
2024-05-08,1.1061535591066631
2024-05-09,1.1146914951896447
2024-05-10,1.1160286959057186
2024-05-13,1.1151207332619233
2024-05-14,1.1200022566419168
2024-05-15,1.1295967287980047
2024-05-16,1.1290184108343166
2024-05-17,1.1322832775140212
2024-05-20,1.1280992753567463
2024-05-21,1.1339367624715417
2024-05-22,1.130414535215403
2024-05-23,1.1190738869597214
2024-05-24,1.1252008998694005
2024-05-28,1.1258540851602075
2024-05-29,1.1159901815469488
2024-05-30,1.1146648969204416
2024-05-31,1.1269057397901012
2024-06-03,1.1257673770004695
2024-06-04,1.127321262525299
2024-06-05,1.134623553318127
2024-06-06,1.134973960780023
2024-06-07,1.13117757537464
2024-06-10,1.1331460058743361
2024-06-11,1.1302172563145962
2024-06-12,1.1381340472209425
2024-06-13,1.1388116197703633
2024-06-14,1.1381077325636948
2024-06-17,1.1421047420724462
2024-06-18,1.1453679031997406
2024-06-20,1.1490378565824562
2024-06-21,1.1456567247667149
2024-06-24,1.1494198314488662
2024-06-25,1.145712413836064
2024-06-26,1.1452264404309562
2024-06-27,1.1481214219012725
2024-06-28,1.1409162558071766
2024-07-01,1.1420409335977801
2024-07-02,1.1477194782287405
2024-07-03,1.151255823100542
2024-07-05,1.1561899484672513
2024-07-08,1.15377742255424
2024-07-09,1.154849105073897
2024-07-10,1.1656890980908152
2024-07-11,1.163292423089769
2024-07-12,1.1639608479272536
2024-07-15,1.165623479183117
2024-07-16,1.1824837014437917
2024-07-17,1.181963950659628
2024-07-18,1.1710679539081512
2024-07-19,1.1654081528408056
2024-07-22,1.169612936368084
2024-07-23,1.1667941002214257
2024-07-24,1.1528106881915583
2024-07-25,1.1546928441458724
2024-07-26,1.1658694691875753
2024-07-29,1.1650957212214526
2024-07-30,1.1714542893453885
2024-07-31,1.179189895902662
2024-08-01,1.1688106943813066
2024-08-02,1.1505625468247682
2024-08-05,1.120380388314279
2024-08-06,1.1275433090434581
2024-08-07,1.1208540740078738
2024-08-08,1.1397117127373164
2024-08-09,1.1442374206082868
2024-08-12,1.1455979963641663
2024-08-13,1.1579513211435295
2024-08-14,1.1633451204199374
2024-08-15,1.1791854870794574
2024-08-16,1.1826760778444387
2024-08-19,1.192223245089508
2024-08-20,1.1891506583312048
2024-08-21,1.192458824915332
2024-08-22,1.1870992581232662
2024-08-23,1.2000009359475317
2024-08-26,1.2017812333725932
2024-08-27,1.2010853855698873
2024-08-28,1.1946472740355751
2024-08-29,1.1963329226887311
2024-08-30,1.2055520133741495
2024-09-03,1.1868822560867254
2024-09-04,1.1864003237506142
2024-09-05,1.1830027198198052
2024-09-06,1.1670353090065553
2024-09-09,1.1798379968354344
2024-09-10,1.1826074111980185
2024-09-11,1.1879956754227157
2024-09-12,1.1947623136712395
2024-09-13,1.2020122746838178
2024-09-16,1.209673327348999
2024-09-17,1.209695052187053
2024-09-18,1.2068318289748305
2024-09-19,1.2227330518259925
2024-09-20,1.2246184133350093
2024-09-23,1.2280189658730807
2024-09-24,1.2312272612033368
2024-09-25,1.2266965221707808
2024-09-26,1.2317883962486091
2024-09-27,1.2327592571969366
2024-09-30,1.2371294036176765
2024-10-01,1.232197999272593
2024-10-02,1.2306439525692259
2024-10-03,1.2274632018154765
2024-10-04,1.2380311418221093
2024-10-07,1.228314285357176
2024-10-08,1.2329882702812944
2024-10-09,1.2431061405895794
2024-10-10,1.2395912187597764
2024-10-11,1.2526818936000548
2024-10-14,1.2585256361377952
2024-10-15,1.252288066596381
2024-10-16,1.2628089358186148
2024-10-17,1.2600994635180909
2024-10-18,1.2617345725087816
2024-10-21,1.2548294380207297
2024-10-22,1.2599458020214624
2024-10-23,1.2517854605692709
2024-10-24,1.2491370055607904
2024-10-25,1.2422317391744133
2024-10-28,1.250019683265451
2024-10-29,1.2453717909128497
2024-10-30,1.241440373454324
2024-10-31,1.2273872147444995
2024-11-01,1.2300339713947852
2024-11-04,1.2261408284083344
2024-11-05,1.237912103287873
2024-11-06,1.2685300537194655
2024-11-07,1.2721761236518858
2024-11-08,1.2760149631299722
2024-11-11,1.2772491730888178
2024-11-12,1.272208741186112
2024-11-13,1.2756448578947484
2024-11-14,1.2709897058314914
2024-11-15,1.264513745046068
2024-11-18,1.266326581348072
