date,ic,hit,daily_return,drawdown
2021-01-04,0.12536818930995,0.75,0.008793579259158623,0.0
2021-01-05,-0.2666605801024701,0.45,0.005035576454440061,0.0
2021-01-06,-0.10393922544883692,0.6,0.008163344594984152,0.0
2021-01-07,0.14126416237565997,0.6,0.002680850048492894,0.0
2021-01-08,-0.1772353467783657,0.3,-0.0048987912372683295,-0.0048987912372682185
2021-01-11,-0.44111611103113435,0.35,-0.0035037612254817333,-0.008385388267961091
2021-01-12,0.11645737736618186,0.65,0.002493576567727713,-0.005912721307929747
2021-01-13,-0.09819362964109246,0.4,0.0007209249949536702,-0.0051960589415551706
2021-01-14,0.6064525839422633,0.4,-0.0012942753396638087,-0.006483609150267466
2021-01-15,0.10582644168331967,0.75,0.005390914306596733,-0.00112764742499738
2021-01-19,-0.5901394985327179,0.55,0.0032042437410579718,0.0
2021-01-20,-0.38130308220028963,0.15,-0.0057446274450447254,-0.005744627445044781
2021-01-21,-0.13386127164813283,0.45,-0.0016701790632546569,-0.007405211951814428
2021-01-22,-0.5449593508117332,0.4,-0.004396443261410643,-0.011769098619040297
2021-01-25,-0.28123291963152364,0.35,-0.002442575784479906,-0.014182927488228136
2021-01-26,-0.18901588902384295,0.1,-0.02613530043569217,-0.0399475528529577
2021-01-27,0.5460066238285499,0.9,0.01705265437590678,-0.023576110289015628
2021-01-28,0.06373152902677601,0.1,-0.015630743171138824,-0.038838341335252435
2021-01-29,0.07222577696819235,0.9,0.011481758033979111,-0.02780251573892567
2021-02-01,0.0471678543465746,0.75,0.012606573029521062,-0.015546437154471682
2021-02-02,-0.4314160331013664,0.25,-0.0016214896539790027,-0.017142718421448544
2021-02-03,-0.3217463111304879,0.65,0.0036630306572433442,-0.013542482067331552
2021-02-04,0.053103193709661,0.75,0.004310182824592907,-0.00929066981634774
2021-02-05,-0.15032748545045413,0.65,0.006675433615916405,-0.0026772554500374968
2021-02-08,0.49028668484751875,0.65,0.0019327770376641473,-0.0007496529502311056
2021-02-09,0.05469455415218184,0.7,0.003087419927239804,0.0
2021-02-10,-0.1239312031079884,0.25,-0.0036194842827446455,-0.0036194842827445006
2021-02-11,0.4546435054371773,0.65,0.0032301709531087526,-0.00040100488263106193
2021-02-12,-0.6403350071431989,0.25,-0.004665405834586229,-0.005064539866698081
2021-02-16,-0.11825351226505518,0.6,0.001849585372020757,-0.0032243217935307156
2021-02-17,-0.026632838292320094,0.3,-0.00350987047713423,-0.006722875318793009
2021-02-18,0.2144263514851935,0.5,-0.0021884002378900536,-0.008896563214735975
2021-02-19,-0.23615606472631795,0.3,-0.0042604855606191705,-0.013119145096239682
2021-02-22,-0.2331500698118385,0.4,-0.000639714618893095,-0.013750467206227301
2021-02-23,-0.26391550032755007,0.45,0.0027308985389037197,-0.011057119798126291
2021-02-24,0.05319702004222598,0.2,-0.015449567388116934,-0.02633585946880357
2021-02-25,0.4681462133010707,0.4,-0.005698032640589501,-0.03188382952252189
2021-02-26,0.2690262648101206,0.95,0.023157244222118588,-0.009464926927392647
2021-03-01,0.2038384103325247,0.35,-0.003970590549442743,-0.013397936127426235
2021-03-02,-0.3231693520830808,0.15,-0.01166471659566691,-0.024906369595199873
2021-03-03,-0.10149910044862175,0.15,-0.010020683408461191,-0.03467747415909339
2021-03-04,-0.3172610066327209,0.85,0.011463176376863258,-0.02361181178481997
2021-03-05,-0.0590826046119756,0.55,0.0038999927311062824,-0.019803904948042628
2021-03-08,0.6115188733149696,0.8,0.016889953547219973,-0.0032484384354487528
2021-03-09,0.7019298070207594,0.9,0.018302759289033896,0.0
